,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,
280,0,2,0,0,3,0,0,3,0,4,4,ikigai
281,0,1,0,0,2,0,2,2,1,3,2,ikigai
282,0,1,0,0,2,0,2,2,0,4,4,ikigai
283,1,1,0,0,1,0,1,1,1,1,0,ikigai
284,0,0,0,0,0,0,0,0,1,1,0,ikigai
285,0,1,0,0,1,0,0,2,1,1,0,ikigai
286,0,6,0,0,5,1,4,2,0,7,7,ikigai
287,0,1,0,0,2,0,2,2,1,2,1,ikigai
288,0,1,0,0,1,0,0,0,0,2,2,ikigai
289,0,0,0,0,0,1,0,1,1,1,0,ikigai
290,2,0,1,0,1,1,0,2,2,2,0,ikigai
291,0,0,0,0,0,1,0,3,1,2,1,ikigai
292,0,1,0,0,1,0,0,2,1,2,1,ikigai
293,0,2,0,1,2,1,2,3,1,6,5,ikigai
294,0,1,0,0,0,0,0,0,0,1,1,ikigai
295,0,1,0,0,2,0,1,2,0,4,4,ikigai
296,1,0,2,0,1,1,0,1,2,3,1,ikigai
297,0,2,0,0,2,0,0,2,0,4,4,ikigai
298,0,0,0,0,0,0,0,2,0,1,1,ikigai
299,0,1,0,0,1,0,0,2,0,2,2,ikigai
300,0,2,0,0,2,0,0,1,0,3,3,ikigai
301,0,1,0,1,0,2,0,0,2,0,-2,ikigai
302,0,0,0,0,0,0,0,0,0,1,1,ikigai
303,0,1,0,1,1,1,1,2,2,2,0,ikigai
304,0,1,0,0,1,0,0,1,0,2,2,ikigai
305,0,2,0,0,2,0,1,2,0,3,3,ikigai
306,0,2,0,1,1,1,1,2,1,3,2,ikigai
307,0,4,0,0,4,0,2,3,0,6,6,ikigai
308,0,3,0,0,1,0,1,2,0,2,2,ikigai
309,0,3,0,1,2,0,0,2,1,3,2,ikigai
310,0,0,0,0,0,0,0,0,0,1,1,ikigai
311,0,0,0,0,1,0,0,2,0,5,5,ikigai
312,0,0,0,0,1,0,1,1,0,1,1,ikigai
313,0,1,0,0,1,0,0,1,0,1,1,ikigai
314,0,1,0,1,1,0,0,1,0,4,4,ikigai
315,0,2,0,0,2,0,0,1,1,5,4,ikigai
316,0,2,0,1,2,0,0,0,0,2,2,ikigai
317,0,2,0,0,1,0,1,1,0,2,2,ikigai
318,0,1,0,0,1,0,0,1,0,2,2,ikigai
319,1,0,0,1,0,1,1,0,1,0,-1,ikigai
320,0,0,0,0,0,0,1,0,0,1,1,ikigai
321,0,2,0,0,0,1,0,2,2,3,1,ikigai
322,0,1,0,0,1,0,0,1,0,3,3,ikigai
323,0,3,2,2,4,5,2,5,3,6,3,ikigai
324,0,0,0,0,0,0,0,2,0,5,5,ikigai
325,0,1,0,0,1,0,1,1,0,5,5,ikigai
326,0,0,0,0,0,0,0,1,0,2,2,ikigai
327,0,2,0,0,3,0,1,3,0,5,5,ikigai
328,0,0,0,0,1,0,0,2,1,2,1,ikigai
329,0,3,0,0,2,1,2,2,1,3,2,ikigai
330,0,3,0,0,1,0,0,4,0,7,7,ikigai
331,0,1,0,0,1,0,0,1,0,2,2,ikigai
332,0,1,0,0,1,0,1,1,0,1,1,ikigai
333,0,1,0,0,1,0,1,1,0,2,2,ikigai
334,0,1,0,0,1,0,1,1,0,1,1,ikigai
335,1,2,1,0,1,0,1,1,1,3,2,ikigai
336,1,2,1,0,1,1,1,1,1,1,0,ikigai
337,0,1,0,1,2,0,0,2,1,4,3,ikigai
338,0,0,1,0,0,1,0,0,1,2,1,ikigai
339,0,3,0,0,0,0,1,2,0,3,3,ikigai
340,0,1,0,0,2,0,1,2,0,2,2,ikigai
341,0,1,0,0,1,0,1,1,0,1,1,ikigai
342,0,0,0,0,0,0,0,1,0,1,1,ikigai
343,0,0,0,0,0,0,0,0,0,0,0,ikigai
344,0,1,0,0,2,0,2,3,0,3,3,ikigai
345,0,1,0,0,1,0,1,2,0,2,2,ikigai
346,0,1,0,0,1,0,1,2,0,2,2,ikigai
347,0,2,0,0,1,0,0,1,1,2,1,ikigai
348,0,2,0,0,2,1,2,1,0,2,2,ikigai
349,0,0,0,0,2,0,0,4,1,4,3,ikigai
350,0,2,0,0,1,0,0,1,0,3,3,ikigai
351,0,1,0,0,1,0,0,0,1,3,2,ikigai
352,0,0,0,0,1,0,0,1,0,1,1,ikigai
353,0,1,1,1,2,1,1,1,2,3,1,ikigai
354,0,3,0,0,4,0,1,2,0,6,6,ikigai
355,0,3,0,0,2,0,1,2,0,3,3,ikigai
356,0,2,0,0,2,0,1,3,0,2,2,ikigai
357,0,1,1,0,0,0,0,0,1,0,-1,ikigai
358,0,0,0,0,0,0,0,1,0,1,1,ikigai
359,0,1,0,0,1,0,1,1,0,5,5,ikigai
360,0,0,0,0,0,0,0,0,0,1,1,ikigai
361,0,3,0,0,2,0,1,3,0,4,4,ikigai
362,0,1,0,1,2,1,1,1,1,2,1,ikigai
363,0,1,0,0,0,0,0,0,0,0,0,ikigai
364,0,1,0,0,1,0,0,1,0,1,1,ikigai
365,0,0,0,0,0,0,0,0,0,0,0,ikigai
366,1,0,1,0,0,1,0,1,2,0,-2,ikigai
367,0,0,0,0,1,0,0,1,0,3,3,ikigai
368,0,0,1,0,0,0,0,0,1,0,-1,ikigai
369,0,0,0,0,0,0,0,0,0,1,1,ikigai
370,0,2,0,0,0,0,0,1,1,2,1,ikigai
371,1,2,0,1,1,0,0,0,2,3,1,ikigai
372,0,1,0,0,0,0,0,0,0,1,1,ikigai
373,0,2,0,0,1,0,1,3,0,4,4,ikigai
374,0,1,1,0,1,0,1,1,1,2,1,ikigai
375,0,0,0,0,0,0,0,1,0,1,1,ikigai
376,0,0,0,0,1,0,0,2,0,1,1,ikigai
377,0,1,0,0,0,0,0,0,0,0,0,ikigai
378,0,1,0,1,2,0,0,2,0,3,3,ikigai
379,0,1,0,2,2,0,0,2,0,4,4,ikigai
380,0,0,0,0,0,1,1,2,1,2,1,ikigai
381,0,0,0,0,0,0,0,1,0,2,2,ikigai
382,0,2,0,0,3,0,1,2,0,3,3,ikigai
383,0,2,0,0,1,0,1,1,1,3,2,ikigai
384,0,0,0,0,0,0,0,0,0,1,1,ikigai
385,0,0,0,0,0,0,0,0,0,1,1,ikigai
386,0,0,0,0,3,0,0,2,0,4,4,ikigai
387,1,2,1,0,1,0,1,1,1,2,1,ikigai
388,0,2,0,0,1,0,1,1,0,2,2,ikigai
389,0,0,0,0,0,0,1,1,0,0,0,ikigai
390,0,0,0,0,0,0,0,1,0,1,1,ikigai
391,1,0,0,0,0,0,0,2,1,4,3,ikigai
392,0,1,0,0,1,0,0,1,0,1,1,ikigai
393,0,1,0,0,1,0,1,1,0,2,2,ikigai
394,0,0,0,0,0,0,0,2,0,2,2,ikigai
395,0,2,0,0,0,0,1,0,0,1,1,ikigai
396,0,0,0,0,0,0,0,1,0,0,0,ikigai
397,0,0,0,0,0,0,0,0,0,3,3,ikigai
398,0,0,0,0,0,0,0,0,0,1,1,ikigai
399,0,0,0,0,1,0,0,1,0,2,2,ikigai
400,0,0,0,0,0,0,0,0,0,0,0,ikigai
401,0,1,0,0,1,0,0,1,0,1,1,ikigai
402,0,1,0,0,1,0,1,1,0,1,1,ikigai
403,0,0,0,1,0,0,0,1,0,3,3,ikigai
404,0,1,0,0,1,0,1,1,0,1,1,ikigai
405,0,2,0,0,3,0,1,4,0,4,4,ikigai
406,0,1,0,2,1,0,0,0,0,1,1,ikigai
407,0,1,0,0,1,0,0,1,0,2,2,ikigai
408,1,1,1,1,1,1,1,1,1,1,0,ikigai
409,0,1,0,0,1,0,1,1,0,1,1,ikigai
410,0,1,0,1,0,0,0,1,0,2,2,ikigai
411,0,1,0,0,0,0,0,2,0,3,3,ikigai
412,0,1,0,0,2,0,1,2,1,3,2,ikigai
413,0,1,0,0,1,0,1,1,0,2,2,ikigai
414,1,2,1,2,2,1,0,1,1,3,2,ikigai
415,0,0,0,0,0,0,1,1,0,2,2,ikigai
416,0,0,0,0,0,0,1,0,0,1,1,ikigai
417,0,1,0,0,1,0,0,2,0,3,3,ikigai
418,0,1,0,0,2,0,1,3,0,3,3,ikigai
419,0,1,0,0,1,0,0,1,0,2,2,ikigai
420,0,1,0,1,1,1,1,2,1,1,0,ikigai
421,0,1,0,1,1,1,0,2,1,3,2,ikigai
422,0,0,0,0,0,0,0,1,0,0,0,ikigai
423,1,1,0,0,1,0,1,2,1,3,2,ikigai
424,0,1,0,0,1,0,1,1,0,3,3,ikigai
425,0,1,0,0,0,0,1,2,0,2,2,ikigai
426,0,1,0,0,0,0,0,1,0,1,1,ikigai
427,1,0,1,0,0,1,0,0,1,1,0,ikigai
428,0,1,0,0,1,0,0,1,0,3,3,ikigai
429,0,0,0,0,0,0,0,0,0,3,3,ikigai
430,1,1,1,1,1,1,1,3,1,3,2,ikigai
431,0,2,0,0,1,0,0,1,0,3,3,ikigai
432,0,0,0,0,0,0,0,0,0,1,1,ikigai
433,0,2,0,0,2,0,0,3,0,4,4,ikigai
434,0,2,0,0,3,0,2,3,1,4,3,ikigai
435,0,1,0,0,2,0,0,2,0,5,5,ikigai
436,0,0,0,0,0,0,0,0,0,0,0,ikigai
437,0,0,0,0,0,0,0,0,0,0,0,ikigai
438,0,1,0,0,1,0,1,1,1,3,2,ikigai
439,0,0,0,0,2,0,0,1,0,2,2,ikigai
440,0,1,0,0,0,0,0,0,0,2,2,ikigai
441,0,2,0,0,2,0,1,2,0,4,4,ikigai
442,0,5,0,0,3,1,2,2,0,3,3,ikigai
443,0,2,0,0,1,0,1,2,0,2,2,ikigai
444,0,0,0,0,1,0,0,0,0,1,1,ikigai
445,1,1,2,0,0,0,0,1,2,1,-1,ikigai
446,0,2,0,0,1,0,2,2,0,4,4,ikigai
447,0,0,0,0,0,0,0,0,0,0,0,ikigai
448,0,3,0,0,3,1,3,1,0,4,4,ikigai
449,1,1,1,0,1,0,1,2,1,2,1,ikigai
450,0,0,0,0,0,0,0,2,0,2,2,ikigai
451,0,1,0,0,1,0,0,0,0,2,2,ikigai
452,0,2,0,0,1,0,0,1,0,2,2,ikigai
453,0,0,0,0,0,0,0,2,0,2,2,ikigai
454,0,0,0,0,0,0,0,0,0,0,0,ikigai
455,0,0,0,0,1,0,0,0,0,1,1,ikigai
456,0,1,0,0,1,0,1,2,0,2,2,ikigai
457,0,1,0,0,1,0,1,1,0,1,1,ikigai
458,0,1,0,0,0,0,0,0,0,2,2,ikigai
459,0,2,0,0,2,0,0,2,0,3,3,ikigai
