"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"1734",0,3,0,0,3,0,1,3,0,4,4
"1735",0,0,0,0,1,0,0,1,0,3,3
"1736",0,0,0,0,0,0,0,0,0,1,1
"1737",0,0,0,0,1,0,0,0,0,1,1
"1738",0,1,0,0,2,0,1,2,0,2,2
"1739",0,0,0,0,0,0,0,0,0,0,0
"1740",0,0,0,0,0,0,0,0,0,1,1
"1741",0,0,0,0,0,0,0,0,0,0,0
"1742",0,0,0,0,1,0,0,0,0,2,2
"1743",0,0,0,0,1,0,0,1,0,2,2
"1744",0,0,0,0,0,0,0,0,0,0,0
"1745",0,1,0,0,1,0,1,0,0,2,2
"1746",0,0,0,0,1,0,0,1,0,1,1
"1747",0,0,0,0,0,0,0,0,0,0,0
"1748",0,1,0,0,0,0,0,0,0,0,0
"1749",0,2,0,0,1,0,1,0,0,1,1
"1750",0,0,0,0,0,0,0,0,0,2,2
"1751",0,0,0,0,0,0,0,0,0,1,1
"1752",0,0,0,0,0,0,0,0,0,0,0
"1753",0,0,0,0,0,0,0,0,0,1,1
"1754",0,0,0,0,0,0,0,0,0,0,0
"1755",0,0,0,0,0,0,0,0,0,1,1
"1756",0,0,0,0,0,0,0,0,0,0,0
"1757",0,0,0,0,0,0,0,0,0,0,0
"1758",0,0,0,0,0,0,0,0,0,0,0
"1759",0,1,0,0,1,0,1,1,0,1,1
"1760",0,0,0,0,0,0,0,0,0,1,1
"1761",0,0,0,0,0,0,0,0,0,0,0
"1762",0,0,0,0,0,0,0,0,0,0,0
"1763",0,0,0,0,1,0,1,1,0,1,1
"1764",0,0,0,0,0,0,0,1,0,1,1
"1765",0,2,0,0,1,0,1,2,0,3,3
"1766",0,4,0,0,4,0,0,3,1,8,7
"1767",1,2,0,1,2,2,1,4,2,2,0
"1768",0,1,0,0,1,0,0,1,1,2,1
"1769",0,4,1,0,4,1,2,3,1,4,3
"1770",0,2,0,1,3,0,1,1,2,5,3
"1771",0,3,0,0,3,0,2,2,0,4,4
"1772",0,0,0,0,0,1,0,0,0,2,2
"1773",1,1,1,0,1,1,2,2,1,3,2
"1774",0,0,0,0,0,0,0,0,0,0,0
"1775",0,0,0,0,1,0,0,0,0,2,2
"1776",0,2,0,0,3,0,1,3,0,3,3
"1777",0,0,0,0,0,0,0,0,0,1,1
"1778",0,0,0,0,1,0,0,0,0,1,1
"1779",0,3,0,0,3,0,1,3,0,6,6
"1780",0,3,0,0,3,0,2,3,0,3,3
"1781",0,0,0,0,0,0,0,1,0,1,1
"1782",0,1,0,0,1,0,1,2,0,1,1
"1783",0,1,0,0,1,0,1,2,0,1,1
"1784",0,1,0,0,1,0,1,2,0,2,2
"1785",0,0,0,0,1,1,0,2,2,2,0
"1786",0,1,0,0,1,0,0,1,0,1,1
"1787",1,0,0,0,2,0,0,1,1,2,1
"1788",0,1,0,0,1,0,1,2,0,1,1
"1789",0,0,0,0,0,0,0,1,0,3,3
"1790",0,2,0,0,1,0,1,1,1,2,1
"1791",0,0,0,0,0,0,0,2,0,3,3
"1792",0,2,0,0,2,1,0,2,1,3,2
"1793",0,0,0,0,0,0,0,1,1,4,3
"1794",0,0,0,0,0,0,0,0,0,0,0
"1795",0,0,0,0,0,0,0,1,0,0,0
"1796",0,1,1,0,1,0,1,1,1,1,0
"1797",0,2,0,0,1,0,0,1,0,1,1
"1798",0,1,0,0,1,1,1,2,0,4,4
"1799",1,1,0,0,1,0,1,1,0,1,1
"1800",0,0,0,0,0,0,0,0,0,0,0
"1801",0,0,0,0,0,0,0,0,0,0,0
"1802",0,0,0,0,0,0,0,1,0,2,2
"1803",0,0,0,0,0,0,0,0,0,0,0
"1804",0,3,0,0,2,0,1,2,1,4,3
"1805",0,0,0,0,0,0,0,1,0,0,0
"1806",0,1,0,0,1,0,1,1,0,1,1
"1807",0,0,0,0,0,0,0,0,0,0,0
"1808",0,0,0,0,0,0,0,0,0,0,0
"1809",0,1,0,0,1,0,1,1,0,1,1
"1810",0,0,0,0,0,0,0,0,0,0,0
"1811",0,0,0,0,1,0,1,1,0,1,1
"1812",0,0,0,0,0,0,0,0,1,0,-1
"1813",0,1,0,0,1,0,1,1,0,3,3
"1814",0,1,0,0,1,0,1,1,0,1,1
"1815",0,0,0,0,0,0,0,0,0,1,1
"1816",0,1,0,0,1,0,1,1,0,1,1
"1817",0,0,0,0,0,0,0,0,0,0,0
"1818",0,3,0,0,2,0,1,3,1,2,1
"1819",0,0,0,0,0,0,0,0,0,1,1
"1820",0,1,0,0,1,0,1,2,0,1,1
"1821",0,1,0,0,1,0,1,2,1,2,1
"1822",0,0,0,0,0,0,0,0,0,0,0
"1823",0,0,0,0,0,0,0,0,0,0,0
"1824",0,3,0,0,3,0,1,2,0,4,4
"1825",0,0,0,0,0,0,0,0,1,0,-1
"1826",0,2,0,0,1,0,1,1,0,2,2
"1827",0,0,0,0,0,0,0,0,0,0,0
"1828",0,1,0,0,1,0,1,1,0,1,1
"1829",0,0,0,0,0,0,0,1,0,0,0
"1830",0,1,0,0,1,0,0,1,0,1,1
"1831",0,1,0,0,1,0,0,1,0,1,1
"1832",0,0,0,0,0,0,0,0,0,0,0
"1833",0,0,0,0,0,0,0,0,0,0,0
"1834",0,1,0,0,1,0,1,1,0,1,1
"1835",0,0,0,0,1,0,1,1,0,1,1
"1836",0,1,1,1,1,1,1,1,1,2,1
"1837",0,0,0,0,0,0,0,0,0,0,0
"1838",0,0,0,0,0,0,0,0,0,0,0
"1839",0,0,0,0,0,0,0,0,0,0,0
"1840",0,0,0,0,0,0,0,0,0,0,0
"1841",0,0,0,0,0,0,0,0,0,0,0
"1842",0,0,0,0,0,0,0,0,0,0,0
"1843",0,0,0,0,0,0,0,0,0,0,0
"1844",0,0,0,0,0,0,0,0,0,0,0
"1845",0,0,0,0,0,0,0,0,0,0,0
"1846",0,0,0,0,0,0,0,0,0,1,1
"1847",0,0,0,0,0,0,0,0,0,0,0
"1848",0,0,0,0,0,0,0,0,0,0,0
"1849",0,0,0,0,0,0,0,0,0,0,0
"1850",0,0,0,0,0,0,0,0,0,0,0
"1851",0,5,0,0,6,0,4,6,1,7,6
"1852",1,2,0,0,1,0,1,2,1,5,4
"1853",2,6,1,2,7,2,4,11,7,26,19
"1854",0,0,0,0,1,0,0,3,0,5,5
"1855",0,1,0,0,0,0,0,0,1,1,0
"1856",0,0,0,0,0,0,0,0,0,0,0
"1857",3,2,1,3,2,3,2,3,9,8,-1
"1858",0,1,0,0,1,0,1,0,0,1,1
"1859",0,1,0,0,1,0,1,1,0,3,3
"1860",0,0,0,0,0,0,0,0,0,0,0
"1861",0,0,0,0,2,0,0,0,0,2,2
"1862",0,0,0,0,0,0,0,0,0,1,1
"1863",0,1,0,0,0,0,0,1,0,0,0
"1864",0,0,0,0,0,0,0,0,0,0,0
"1865",0,2,0,0,2,0,2,2,0,2,2
"1866",1,6,1,1,4,0,2,5,2,12,10
"1867",0,2,0,0,2,0,0,5,0,8,8
"1868",0,2,0,0,2,0,0,2,1,6,5
"1869",0,2,0,0,1,0,0,2,0,7,7
"1870",0,2,0,0,3,1,0,2,1,6,5
"1871",3,11,1,2,11,2,5,13,8,18,10
"1872",2,5,1,0,4,2,3,6,4,11,7
"1873",1,2,1,0,1,2,1,3,3,3,0
"1874",1,4,1,2,3,1,1,3,2,3,1
"1875",0,0,0,0,0,0,0,0,0,3,3
"1876",0,2,1,1,1,0,1,4,1,4,3
"1877",0,0,0,0,3,0,2,2,0,7,7
"1878",0,1,0,0,3,0,2,5,0,5,5
"1879",1,4,1,0,5,1,1,9,7,21,14
"1880",0,0,0,0,1,0,0,1,0,2,2
"1881",0,0,0,0,0,0,0,2,0,0,0
"1882",0,0,0,0,1,0,0,2,0,1,1
"1883",1,0,1,1,0,2,0,1,2,5,3
"1884",0,4,0,0,4,0,2,5,1,10,9
"1885",0,2,0,0,1,0,0,2,0,5,5
"1886",1,6,0,2,6,2,3,9,2,18,16
"1887",2,0,2,0,0,1,0,3,2,4,2
"1888",0,0,0,0,1,0,0,3,0,6,6
"1889",0,0,0,0,0,0,0,1,0,5,5
"1890",0,3,0,0,2,1,2,5,1,6,5
"1891",0,4,0,0,3,0,1,5,0,9,9
"1892",0,1,0,1,4,1,1,8,2,8,6
"1893",0,1,0,0,1,0,0,2,0,5,5
"1894",0,0,0,0,0,0,0,0,0,0,0
"1895",0,1,0,1,2,1,1,1,0,3,3
"1896",0,2,0,0,1,0,0,0,0,2,2
"1897",1,6,0,2,4,0,1,3,2,11,9
"1898",0,1,0,0,0,1,0,0,0,3,3
"1899",0,0,0,0,2,0,0,1,0,2,2
"1900",0,2,0,0,3,0,1,4,0,6,6
"1901",0,4,1,0,3,1,1,2,0,10,10
"1902",0,0,0,1,2,1,0,2,2,4,2
"1903",0,2,0,0,1,1,1,1,2,3,1
"1904",0,3,1,1,2,2,0,10,1,11,10
"1905",0,1,0,1,1,0,0,0,2,1,-1
"1906",0,1,0,1,1,0,0,2,1,4,3
"1907",0,1,0,1,2,1,0,3,1,5,4
"1908",0,0,0,0,2,0,0,4,0,9,9
"1909",0,2,0,0,3,0,0,3,2,7,5
"1910",0,1,0,0,2,0,0,4,0,6,6
"1911",0,1,0,1,2,0,0,2,0,3,3
"1912",0,1,0,0,1,0,0,2,1,7,6
"1913",0,2,0,0,1,0,0,2,1,1,0
"1914",1,2,1,0,1,0,0,2,3,3,0
"1915",1,2,0,0,2,1,1,2,2,7,5
"1916",0,2,0,0,4,1,2,7,7,5,-2
"1917",0,1,0,0,1,1,1,1,0,2,2
"1918",0,1,0,0,0,0,0,2,0,2,2
"1919",0,0,0,0,0,0,0,1,0,2,2
"1920",1,1,1,0,1,0,0,3,3,7,4
"1921",0,2,0,0,3,0,0,2,0,4,4
"1922",0,3,0,1,1,1,0,5,1,4,3
"1923",0,1,0,1,1,0,1,1,0,3,3
"1924",1,0,0,0,0,0,0,2,1,3,2
"1925",1,0,0,1,1,1,1,1,1,1,0
"1926",1,1,1,1,0,1,0,1,2,0,-2
"1927",1,2,1,0,0,0,1,2,1,3,2
"1928",1,3,0,0,3,1,1,3,1,8,7
"1929",0,3,0,0,2,1,2,5,0,6,6
"1930",1,4,0,0,4,0,1,4,1,8,7
"1931",1,2,0,0,2,1,1,1,1,6,5
"1932",0,3,0,0,2,0,2,2,0,4,4
"1933",0,0,0,0,1,0,0,1,0,1,1
"1934",0,2,0,0,2,1,2,2,0,3,3
"1935",0,3,0,0,0,0,0,0,0,1,1
"1936",1,1,0,0,0,0,0,1,1,1,0
"1937",0,2,0,0,2,0,1,1,0,4,4
"1938",0,2,0,0,1,0,0,1,0,3,3
"1939",0,0,0,0,1,1,1,3,1,4,3
"1940",0,2,0,0,2,0,2,2,0,4,4
"1941",0,1,0,0,1,0,0,2,0,5,5
"1942",0,0,0,0,0,0,0,0,0,1,1
"1943",0,1,0,0,1,0,1,1,0,1,1
"1944",0,0,0,0,0,0,0,0,0,1,1
"1945",0,3,0,0,1,0,0,1,0,3,3
"1946",0,1,0,0,1,0,1,1,1,1,0
"1947",0,2,0,2,3,1,2,2,1,4,3
"1948",0,0,0,0,1,0,0,2,0,1,1
"1949",0,0,0,1,0,0,0,1,0,3,3
"1950",0,0,0,0,2,0,0,2,0,4,4
"1951",1,3,1,1,2,2,1,2,1,2,1
"1952",0,1,0,0,1,0,1,3,0,3,3
